species,subspecies,collectors,collector_number,island,location,lat,long,involucral_bracts,leaf_length,leaf_width,lobe_count,lobe_width,lobe_length,recorder,cluster
Argyranthemum_adauctum,adauctum,White,135,Tenerife,Valle de la Ortova,28.34997222,-16.51527778,2,65.58,27,8,3.05,15.05,FT,2
Argyranthemum_adauctum,jacobaeifolium,White,369,Gran Canaria,South of Valsendero,28.051769,-15.591341,2,80.08,43.48,10,7.42,23.3,SJ,2
Argyranthemum_adauctum,jacobaeifolium,White,372,Gran Canaria,Near to Laguna,28.06719444,-15.56466667,2,77.19,42.23,8,8.77,23.46,SJ,2
Argyranthemum_adauctum,adauctum,White,121,Tenerife,"Along TF-24 between La Laguna and Las Canadas del Teide, above Candelaria and Santa Ursula",28.39297222,-16.43780556,1,81.05,39.5,9,8.85,19.25,FT,1
Argyranthemum_adauctum,jacobaeifolium,White,370,Gran Canaria,Near to Laguna,28.06719444,-15.56466667,2,63.98,33.48,10,7.29,16.36,SJ,1
Argyranthemum_adauctum,palmensis,White,62,La Palma,Walk from Tilos to Marcos y Corderos,28.77286111,-17.8244,1,95.01,35.36,13,10.03,24.98,SJ,1
Argyranthemum_adauctum,adauctum,White,120,Tenerife,"Along TF-24 between La Laguna and Las Canadas del Teide, above Candelaria and Santa Ursula",28.39269444,-16.43794444,1,64.35,25.45,8,6.7,14.9,FT,2
Argyranthemum_adauctum,erythrocarpon,Jarvis,297,El Hierro,"Valverde to Frontera road, 24km from Valverde",27.73333333,-14.33333333,1,46.25,18.25,4,5.05,11.25,FT,2
Argyranthemum_adauctum,palmensis,White,59,La Palma,Walk from Tilos to Marcos y Corderos,28.77405556,-17.83319444,3,86.44,42.85,11,10.72,26.81,SJ,2
Argyranthemum_adauctum,palmensis,White,61,La Palma,Walk from Tilos to Marcos y Corderos,28.77060278,-17.82858333,3,90.04,40.6,9,13.57,26.6,SJ,2
Argyranthemum_adauctum,erythrocarpon,White,43,El Hierro,"Alongside HI-1 through the laurel forest above Fontera, between El Brezal and El Salvador",27.73519444,-18.04125,1,62.15,24.15,7,6.05,13.65,FT,3
Argyranthemum_adauctum,erythrocarpon,White,44,El Hierro,"Alongside HI-1 through the laurel forest above Fontera, between El Brezal and El Salvador",27.73116667,-18.0315,1,113.05,45.55,8,12.15,24.65,FT,3
Argyranthemum_adauctum,canariense,White,364,Gran Canaria,Alongside GC-600 south of Presa de la Siberia,27.98466667,-15.57280556,2,63.63,26.56,10,7.19,13.14,SJ,3
Argyranthemum_adauctum,dugourii,White,166,Tenerife,Off-road track north east of Vilafror,28.17708333,-16.59808333,2,35.65,12.05,7,1.75,9.25,FT,1
Argyranthemum_adauctum,canariense,White,362,Gran Canaria,Alongside GC-600 south of Presa de la Siberia,27.98741667,-15.57588889,2,60.25,27.78,7,7.21,17.84,SJ,1
Argyranthemum_adauctum,dugourii,White,163,Tenerife,Off-road track north east of Vilafror,28.17255556,-16.62533333,2,31.75,10.05,5,2.35,5.45,FT,1
Argyranthemum_adauctum,canariense,White,363,Gran Canaria,Alongside GC-600 south of Presa de la Siberia,27.98444444,-15.57255556,2,59.99,29.76,9,7.1,16.64,SJ,1
Argyranthemum_adauctum,dugourii,White,164,Tenerife,Off-road track north east of Vilafror,28.17266667,-16.62069444,2,28.05,10.85,6,2.55,7.55,FT,1
Argyranthemum_adauctum,dugourii,Duvigneaud,80_can_45,Tenerife,"Vilafror, route d'Arona",28.142602,-16.645879,2,31.95,12.1,5,1.75,9.05,FT,1
Argyranthemum_adauctum,gracile,White,361,Gran Canaria,Alongside GC-600 near to Roque Nublo,27.96416667,-15.60486111,2,23.46,12.97,7,1.41,6.22,SJ,3
Argyranthemum_adauctum,gracile,White,355,Gran Canaria,Alonside C-815 between Rosiana and Santa Lucia de Tirajana,27.91756667,-15.54921944,2,48.62,20.88,8,5.11,13.73,SJ,3
Argyranthemum_adauctum,gracile,Bramwell,3013,Gran Canaria,1km S of Santa Lucia,27.91290556,-15.53713611,2,39.81,23.38,7,2.94,14.18,SJ,3
