species,subspecies,collectors,collector_number,island,location,lat,long,involucral_bracts,leaf_length,leaf_width,lobe_count,lobe_width,lobe_length,recorder,cluster
Argyranthemum_adauctum,adauctum,White,135,Tenerife,Valle de la Ortova,28_20_59.9,16_30_55,2,65.58,27,8,3.05,15.05,FT,2
Argyranthemum_adauctum,adauctum,White,121,Tenerife,"Along TF-24 between La Laguna and Las Canadas del Teide, above Candelaria and Santa Ursula",28_23_34.7,16_26_16.1,1,81.05,39.5,9,8.85,19.25,FT,2
Argyranthemum_adauctum,adauctum,White,120,Tenerife,"Along TF-24 between La Laguna and Las Canadas del Teide, above Candelaria and Santa Ursula",28_23_33.7,16_26_16.6,1,64.35,25.45,8,6.7,14.9,FT,2
Argyranthemum_adauctum,canariense,White,364,Gran Canaria,Alongside GC-600 south of Presa de la Siberia,27_59_4.8,15_34_22.1,2,63.63,26.56,10,7.19,13.14,SJ,1
Argyranthemum_adauctum,canariense,White,362,Gran Canaria,Alongside GC-600 south of Presa de la Siberia,27_59_14.7,15_34_33.2,2,60.25,27.78,7,7.21,17.84,SJ,1
Argyranthemum_adauctum,canariense,White,363,Gran Canaria,Alongside GC-600 south of Presa de la Siberia,27_59_4,15_34_21.2,2,59.99,29.76,9,7.1,16.64,SJ,1
Argyranthemum_adauctum,dugourii,White,166,Tenerife,Off-road track north east of Vilafror,28_10_37.5,16_35_53.1,2,35.65,12.05,7,1.75,9.25,FT,2
Argyranthemum_adauctum,dugourii,White,163,Tenerife,Off-road track north east of Vilafror,28_10_21.2,16_37_31.2,2,31.75,10.05,5,2.35,5.45,FT,2
Argyranthemum_adauctum,dugourii,White,164,Tenerife,Off-road track north east of Vilafror,28_10_21.6,16_37_14.5,2,28.05,10.85,6,2.55,7.55,FT,2
Argyranthemum_adauctum,dugourii,Duvigneaud,80_can_45,Tenerife,"Vilafror, route d'Arona",,,2,31.95,12.1,5,1.75,9.05,FT,2
Argyranthemum_adauctum,erythrocarpon,Jarvis,297,El Hierro,"Valverde to Frontera road, 24km from Valverde",27_44_00,14_20_00,1,46.25,18.25,4,5.05,11.25,FT,3
Argyranthemum_adauctum,erythrocarpon,White,43,El Hierro,"Alongside HI-1 through the laurel forest above Fontera, between El Brezal and El Salvador",27_44_6.7,18_2_28.5,1,62.15,24.15,7,6.05,13.65,FT,3
Argyranthemum_adauctum,erythrocarpon,White,44,El Hierro,"Alongside HI-1 through the laurel forest above Fontera, between El Brezal and El Salvador",27_43_52.2,18_1_53.4,1,113.05,45.55,8,12.15,24.65,FT,3
Argyranthemum_adauctum,gracile,White,361,Gran Canaria,Alongside GC-600 near to Roque Nublo,27_57_51,15_36_17.5,2,23.46,12.97,7,1.41,6.22,SJ,1
Argyranthemum_adauctum,gracile,White,355,Gran Canaria,Alonside C-815 between Rosiana and Santa Lucia de Tirajana,27_55_3.24,15_32_57.19,2,48.62,20.88,8,5.11,13.73,SJ,1
Argyranthemum_adauctum,gracile,Bramwell,3013,Gran Canaria,1km S of Santa Lucia,,,2,39.81,23.38,7,2.94,14.18,SJ,1
Argyranthemum_adauctum,jacobaeifolium,White,369,Gran Canaria,South of Valsendero,28_2_34.8,15_35_41.1,2,80.08,43.48,10,7.42,23.3,SJ,1
Argyranthemum_adauctum,jacobaeifolium,White,372,Gran Canaria,Near to Laguna,28_4_1.9,15_33_52.8,2,77.19,42.23,8,8.77,23.46,SJ,1
Argyranthemum_adauctum,jacobaeifolium,White,370,Gran Canaria,Near to Laguna,28_4_1.9,15_33_52.8,2,63.98,33.48,10,7.29,16.36,SJ,1
Argyranthemum_adauctum,palmensis,White,62,La Palma,Walk from Tilos to Marcos y Corderos,28_46_22.3,17_49_27.84,1,95.01,35.36,13,10.03,24.98,SJ,3
Argyranthemum_adauctum,palmensis,White,59,La Palma,Walk from Tilos to Marcos y Corderos,28_46_26.6,17_49_59.5,3,86.44,42.85,11,10.72,26.81,SJ,3
Argyranthemum_adauctum,palmensis,White,61,La Palma,Walk from Tilos to Marcos y Corderos,28_46_14.17,17_49_42.9,3,90.04,40.6,9,13.57,26.6,SJ,3
